Date,Index
2015-09-22,1873.0
2015-09-21,2096.0
2015-09-18,1995.0
2015-09-17,1637.0
2015-09-16,1264.0
2015-09-15,1196.0
2015-09-14,1185.0
2015-09-11,1198.0
2015-09-10,1202.0
2015-09-09,1256.0
2015-09-08,1286.0
2015-09-07,1243.0
2015-09-04,1187.0
2015-09-03,1195.0
2015-09-02,1194.0
2015-09-01,1176.0
2015-08-28,1071.0
2015-08-27,1051.0
2015-08-26,1089.0
2015-08-25,1248.0
2015-08-24,1403.0
2015-08-21,1559.0
2015-08-20,1679.0
2015-08-19,1773.0
2015-08-18,1838.0
2015-08-17,1913.0
2015-08-14,1884.0
2015-08-13,1875.0
2015-08-12,2107.0
2015-08-11,2367.0
2015-08-10,2499.0
2015-08-07,2512.0
2015-08-06,2514.0
2015-08-05,2604.0
2015-08-04,2512.0
2015-08-03,2308.0
2015-07-31,2209.0
2015-07-30,2116.0
2015-07-29,2103.0
2015-07-28,1990.0
2015-07-27,1935.0
2015-07-24,1896.0
2015-07-23,1924.0
2015-07-22,1952.0
2015-07-21,1935.0
2015-07-20,1763.0
2015-07-17,1712.0
2015-07-16,1611.0
2015-07-15,1462.0
2015-07-14,1394.0
2015-07-13,1389.0
2015-07-10,1318.0
2015-07-09,1279.0
2015-07-08,1278.0
2015-07-07,1285.0
2015-07-06,1266.0
2015-07-03,1249.0
2015-07-02,1226.0
2015-07-01,1251.0
2015-06-30,1292.0
2015-06-29,1346.0
2015-06-26,1393.0
2015-06-25,1432.0
2015-06-24,1428.0
2015-06-23,1300.0
2015-06-22,1248.0
2015-06-19,1241.0
2015-06-18,1234.0
2015-06-17,1045.0
2015-06-16,904.0
2015-06-15,840.0
2015-06-12,820.0
2015-06-11,810.0
2015-06-10,816.0
2015-06-09,834.0
2015-06-08,865.0
2015-06-05,865.0
2015-06-04,818.0
2015-06-03,821.0
2015-06-02,805.0
2015-06-01,804.0
2015-05-29,810.0
2015-05-28,817.0
2015-05-27,823.0
2015-05-26,806.0
2015-05-22,816.0
2015-05-21,844.0
2015-05-20,889.0
2015-05-19,923.0
2015-05-18,950.0
2015-05-15,954.0
2015-05-14,972.0
2015-05-13,942.0
2015-05-12,731.0
2015-05-11,660.0
2015-05-08,616.0
2015-05-07,574.0
2015-05-06,574.0
2015-05-05,571.0
2015-05-01,574.0
2015-04-30,565.0
2015-04-29,558.0
2015-04-28,551.0
2015-04-27,546.0
2015-04-24,545.0
2015-04-23,543.0
2015-04-22,544.0
2015-04-21,549.0
2015-04-20,537.0
2015-04-17,532.0
2015-04-16,521.0
2015-04-15,494.0
2015-04-14,470.0
2015-04-13,460.0
2015-04-10,466.0
2015-04-09,461.0
2015-04-08,450.0
2015-04-07,448.0
2015-04-02,454.0
2015-04-01,463.0
2015-03-31,475.0
2015-03-30,460.0
2015-03-27,456.0
2015-03-26,456.0
2015-03-25,455.0
2015-03-24,448.0
2015-03-23,435.0
2015-03-20,423.0
2015-03-19,407.0
2015-03-18,357.0
2015-03-17,366.0
2015-03-16,372.0
2015-03-13,378.0
2015-03-12,394.0
2015-03-11,431.0
2015-03-10,457.0
2015-03-09,468.0
2015-03-06,470.0
2015-03-05,464.0
2015-03-04,478.0
2015-03-03,490.0
2015-03-02,516.0
2015-02-27,521.0
2015-02-26,525.0
2015-02-25,529.0
2015-02-24,534.0
2015-02-23,543.0
2015-02-20,542.0
2015-02-19,539.0
2015-02-18,564.0
2015-02-17,589.0
2015-02-16,614.0
2015-02-13,630.0
2015-02-12,652.0
2015-02-11,700.0
2015-02-10,711.0
2015-02-09,687.0
2015-02-06,689.0
2015-02-05,680.0
2015-02-04,669.0
2015-02-03,663.0
2015-02-02,665.0
2015-01-30,679.0
2015-01-29,725.0
2015-01-28,785.0
2015-01-27,831.0
2015-01-26,857.0
2015-01-23,887.0
2015-01-22,965.0
